"year","Country_of_residence","value"
1972,Germany,328
1972,United Kingdom,91
1972,Switzerland,61
1972,Other,40
1972,Japan,40
1972,Mexico,34
1972,Australia,27
1972,France,22
1972,Austria,10
1972,Denmark,9
1972,New Zealand,8
1972,Netherlands,7
1972,Italy,5
1972,Hong Kong,4
1972,Belgium,4
1972,Israel,3
1972,Brazil,1
1972,Taiwan,0
1972,Singapore,0
1972,Spain,0
1972,"Korea, South",0
1972,Czechia,0
1972,Indonesia,0
1972,India,0
1972,Philippines,0
1972,China,0
1973,Germany,395
1973,United Kingdom,88
1973,Switzerland,78
1973,Other,57
1973,France,49
1973,Japan,44
1973,Australia,41
1973,Mexico,40
1973,Austria,20
1973,New Zealand,18
1973,Italy,15
1973,Netherlands,10
1973,Denmark,3
1973,Spain,3
1973,Brazil,2
1973,Israel,2
1973,India,1
1973,Belgium,1
1973,Hong Kong,0
1973,China,0
1973,Indonesia,0
1973,Czechia,0
1973,Singapore,0
1973,Philippines,0
1973,Taiwan,0
1973,"Korea, South",0
1974,Germany,726
1974,United Kingdom,104
1974,Switzerland,100
1974,Australia,56
1974,Other,54
1974,Japan,50
1974,France,43
1974,Austria,25
1974,New Zealand,20
1974,Italy,11
1974,Denmark,10
1974,Netherlands,7
1974,Belgium,5
1974,Brazil,5
1974,Mexico,4
1974,Spain,3
1974,Israel,1
1974,Hong Kong,0
1974,Taiwan,0
1974,Czechia,0
1974,India,0
1974,Singapore,0
1974,Indonesia,0
1974,"Korea, South",0
1974,China,0
1974,Philippines,0
1975,Germany,860
1975,Switzerland,163
1975,Japan,114
1975,Australia,105
1975,United Kingdom,102
1975,France,61
1975,Other,61
1975,Mexico,57
1975,New Zealand,44
1975,Netherlands,38
1975,Austria,34
1975,Italy,21
1975,Belgium,12
1975,Spain,9
1975,Brazil,8
1975,Denmark,6
1975,Israel,3
1975,Taiwan,1
1975,Czechia,0
1975,Indonesia,0
1975,Philippines,0
1975,"Korea, South",0
1975,Hong Kong,0
1975,China,0
1975,Singapore,0
1975,India,0
1976,Germany,844
1976,Australia,190
1976,United Kingdom,166
1976,Other,150
1976,Switzerland,126
1976,France,99
1976,Mexico,91
1976,Japan,52
1976,Denmark,46
1976,New Zealand,44
1976,Austria,34
1976,Netherlands,30
1976,Italy,19
1976,Israel,15
1976,Belgium,6
1976,Brazil,3
1976,Spain,2
1976,India,1
1976,Taiwan,0
1976,China,0
1976,Hong Kong,0
1976,Czechia,0
1976,Indonesia,0
1976,Singapore,0
1976,Philippines,0
1976,"Korea, South",0
1977,Germany,857
1977,France,189
1977,Switzerland,144
1977,Australia,108
1977,Japan,96
1977,Other,95
1977,United Kingdom,90
1977,New Zealand,72
1977,Mexico,48
1977,Austria,43
1977,Netherlands,40
1977,Denmark,10
1977,Israel,9
1977,Italy,8
1977,Brazil,7
1977,Belgium,6
1977,Philippines,3
1977,Spain,2
1977,Hong Kong,1
1977,India,1
1977,Czechia,0
1977,"Korea, South",0
1977,China,0
1977,Indonesia,0
1977,Taiwan,0
1977,Singapore,0
1978,Germany,1138
1978,Australia,278
1978,Switzerland,204
1978,United Kingdom,166
1978,France,160
1978,Other,59
1978,New Zealand,58
1978,Netherlands,49
1978,Mexico,39
1978,Austria,34
